"","Date","Open","High","Low","Close","Volume","Market.Cap","btc_market_price","btc_total_bitcoins","btc_market_cap","btc_trade_volume","btc_blocks_size","btc_avg_block_size","btc_n_orphaned_blocks","btc_n_transactions_per_block","btc_median_confirmation_time","btc_hash_rate","btc_difficulty","btc_miners_revenue","btc_transaction_fees","btc_cost_per_transaction_percent","btc_cost_per_transaction","btc_n_unique_addresses","btc_n_transactions","btc_n_transactions_total","btc_n_transactions_excluding_popular","btc_n_transactions_excluding_chains_longer_than_100","btc_output_volume","btc_estimated_transaction_volume","btc_estimated_transaction_volume_usd","Quarter","Year","price","hash_rate","diff","trans"
"1",2013-04-28,135.3,135.98,132.1,134.21,"-","1,500,520,000",135.98999,11090225,1508159586.85,4992243.921,7186,0.126539065868,0,379,7.95,74.5011506642,8974296.01489,572109.88793,32.57042361,2.53089417969,13.9586660794,107554,40986,16891249,22796,22880,617354.607989,166226,22605050,2,2013,135.98999,74.5011506642,8974296.01489,40986
"2",2013-04-29,134.44,147.49,134,144.54,"-","1,491,160,000",141.50002,11094750,1569907346.89,12886063.4124,7211,0.14012601105,0,313,6.35,80.7467561091,8974296.01489,645240.0912,35.83009291,1.5661399959,12.9024793777,73687,50009,16941258,27314,24458,897729.201895,291162,41199388,2,2013,141.50002,80.7467561091,8974296.01489,50009
"3",2013-04-30,144,146.93,134.05,139,"-","1,597,780,000",139.109,11098475,1543897758.78,11520673.4406,7238,0.185538865772,0,320,7.76666666667,74.6333901792,10076292.8834,525692.911,54.59361391,1.62779327781,10.7734995594,60887,48795,16990053,25564,23909,1785923.38873,232155,32294820,2,2013,139.109,74.6333901792,10076292.8834,48795
"4",2013-05-01,139,139.89,107.72,116.99,"-","1,542,820,000",124.2998,11102000,1379976379.6,27231236.2233,7261,0.167729950355,0,314,8,70.6262282904,10076292.8834,442507.288,35.90344815,1.34138871984,8.77346567004,61672,50437,17040490,24530,25191,1233492.0586,265397,32988744,2,2013,124.2998,70.6262282904,10076292.8834,50437
"5",2013-05-02,116.38,125.6,92.28,105.21,"-","1,292,190,000",105.00003,11105600,1166088333.17,30687919.9965,7288,0.189949277778,0,336,7.86666666667,72.1289139987,10076292.8834,383775.10965,55.0843293,1.16228555235,6.70021840235,67744,57278,17097768,27688,26396,1127675.26753,314467,33019004,2,2013,105.00003,72.1289139987,10076292.8834,57278
"6",2013-05-03,106.25,108.13,79.1,97.75,"-","1,180,070,000",93.15,11109275,1034828966.25,27972774.0495,7315,0.183841367347,0,290,8.8,73.631599707,10076292.8834,346890.6,49.20782248,0.99856336095,6.21011117277,70210,55859,17153627,26506,28639,912306.813074,372936,34738967,2,2013,93.15,73.631599707,10076292.8834,55859
"7",2013-05-04,98.1,115,92.5,112.5,"-","1,089,890,000",111.98979,11113125,1244556534.99,18189055.8656,7339,0.156481733766,0,399,7.23333333333,77.1378663597,10076292.8834,435864.26268,42.74796187,2.27738175917,9.0149592066,56115,48349,17201976,18242,22881,552714.557405,170898,19138832,2,2013,111.98979,77.1378663597,10076292.8834,48349
"8",2013-05-05,112.9,118.8,107.14,115.91,"-","1,254,760,000",117.89001,11116975,1310580293.92,11649114.6408,7363,0.157517538961,0,406,7.8,77.1378663597,10076292.8834,458356.35888,38.14591919,2.0767683663,9.27490153342,55974,49419,17251395,21113,25215,613475.062548,187214,22070654,2,2013,117.89001,77.1378663597,10076292.8834,49419
"9",2013-05-06,115.98,124.66,106.64,112.3,"-","1,289,470,000",120.94999,11121050,1345090886.29,21490110.0621,7389,0.160475509202,0,402,6.53333333333,81.6459234846,10076292.8834,498918.70875,50.99940307,1.52354360134,9.73613903579,64381,51244,17302639,24879,25369,794309.095708,270750,32747255,2,2013,120.94999,81.6459234846,10076292.8834,51244
"10",2013-05-07,112.25,113.44,97.7,111.5,"-","1,248,470,000",106.81,11125450,1188309314.5,18288870.5056,7418,0.167736460227,0,389,6.7,88.1575615539,10076292.8834,474770.45,45.04501941,0.974882718394,8.01773959301,89457,59215,17361854,27551,27772,1023330.9609,455952,48700263,2,2013,106.81,88.1575615539,10076292.8834,59215
"11",2013-05-08,109.6,115.78,109.6,113.57,"-","1,219,450,000",113.95001,11129525,1268209485.05,8755455.5258,7443,0.153979337423,0,345,7.93333333333,81.6459234846,10076292.8834,469929.84124,49.35342081,1.2646612906,9.92271461053,95352,47359,17409213,25395,24770,806731.721056,326095,37158553,2,2013,113.95001,81.6459234846,10076292.8834,47359
"12",2013-05-09,113.2,113.46,109.26,112.67,"-","1,259,980,000",109.56154,11133675,1219822578.86,4178571.9885,7473,0.185624319277,0,430,6.78333333333,83.1486091929,10076292.8834,462130.57572,68.44017033,2.50721371402,6.96294373542,70728,66370,17475583,25416,25563,693721.255125,168235,18432038,2,2013,109.56154,83.1486091929,10076292.8834,66370
"13",2013-05-10,112.8,122,111.55,117.2,"-","1,255,970,000",117.68,11137850,1310702188,11305377.519,7505,0.196190101796,0,451,6.68333333333,83.649504429,10076292.8834,498374.8,60.18777245,2.12635990606,7.33583761426,72244,67937,17543520,25530,27758,914238.402404,199167,23437933,2,2013,117.68,83.649504429,10076292.8834,67937
